date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
24-Dec-2021,EQ,124.8,125.0,120.9,124.55,121.4,121.25,121.84,152.1,88.15,8509575,"1,036,764,255.00",51686
23-Dec-2021,EQ,123.1,125.4,122.8,122.55,124.35,124.55,124.5,152.1,88.15,9836979,"1,224,674,032.35",46877
22-Dec-2021,EQ,123.05,123.9,121.65,122.2,122.65,122.55,122.71,152.1,88.15,7885198,"967,591,161.05",43538
21-Dec-2021,EQ,123.55,124.7,120.85,121.75,122.1,122.2,122.64,152.1,88.15,10168470,"1,247,095,464.85",72541
20-Dec-2021,EQ,124.5,125.45,119.1,125.55,121.6,121.75,121.29,152.1,88.15,14185935,"1,720,570,914.45",104206
17-Dec-2021,EQ,127.4,127.7,124.1,127.4,125.4,125.55,125.72,152.1,88.15,13041775,"1,639,555,257.40",84057
16-Dec-2021,EQ,127.55,128.2,126.25,126.7,127.7,127.4,127.17,152.1,88.15,10758513,"1,368,167,463.30",42439
15-Dec-2021,EQ,126.15,128.45,125.9,126.35,126.55,126.7,127.31,152.1,88.15,11916145,"1,517,102,990.15",65983
14-Dec-2021,EQ,125.0,127.45,125.0,125.8,126.55,126.35,126.13,152.1,88.15,11649242,"1,469,261,040.75",55002
13-Dec-2021,EQ,127.6,128.6,125.5,126.15,125.8,125.8,126.86,152.1,88.15,13223189,"1,677,449,391.15",54230
10-Dec-2021,EQ,126.1,126.7,124.4,126.05,126.25,126.15,125.71,152.1,88.15,8389566,"1,054,674,388.40",47505
09-Dec-2021,EQ,127.25,127.65,125.65,127.25,126.0,126.05,126.07,152.1,88.15,11518172,"1,452,136,096.90",42110
08-Dec-2021,EQ,124.85,127.65,124.85,125.35,127.4,127.25,126.29,152.1,88.15,12093435,"1,527,335,608.70",61533
07-Dec-2021,EQ,125.1,126.4,124.0,124.35,125.25,125.35,125.35,152.1,88.15,8701301,"1,090,743,258.30",57067
06-Dec-2021,EQ,127.0,127.6,124.0,127.0,124.5,124.35,125.53,152.1,88.15,8158812,"1,024,150,341.35",64999
03-Dec-2021,EQ,128.7,130.25,126.4,128.7,127.0,127.0,127.63,152.1,88.15,12827354,"1,637,110,831.50",80723
02-Dec-2021,EQ,127.7,130.3,126.6,127.7,128.6,128.7,128.68,152.1,88.15,12916313,"1,662,114,387.35",70512
01-Dec-2021,EQ,130.0,132.95,125.85,127.25,127.75,127.7,128.35,152.1,88.15,17010938,"2,183,327,115.60",91441
30-Nov-2021,EQ,127.8,129.45,124.7,126.5,127.5,127.25,127.34,152.1,88.15,22883512,"2,913,969,946.95",130953
29-Nov-2021,EQ,127.8,129.35,125.05,128.85,126.45,126.5,126.94,152.1,88.15,16077669,"2,040,944,079.20",120616
26-Nov-2021,EQ,133.2,134.05,128.0,135.2,128.65,128.85,130.56,152.1,88.15,13323593,"1,739,497,251.50",113877
25-Nov-2021,EQ,135.5,136.7,132.3,135.35,135.5,135.2,133.98,152.1,88.15,13919886,"1,864,956,339.20",76179
24-Nov-2021,EQ,134.5,137.3,133.55,133.5,135.2,135.35,135.69,152.1,88.15,7570759,"1,027,308,072.30",70211
23-Nov-2021,EQ,130.05,133.75,128.15,130.15,133.55,133.5,131.75,152.1,88.15,11510010,"1,516,443,550.45",69492
22-Nov-2021,EQ,135.0,136.9,129.7,135.3,130.0,130.15,131.84,152.1,88.15,15990636,"2,108,205,224.50",101661
18-Nov-2021,EQ,136.6,137.6,134.75,136.45,134.9,135.3,136.05,152.1,88.0,9942974,"1,352,724,620.45",62062
