date,series,open,high,low,prev_close,ltp,close,vwap,52wh,52wl,volume,value,no_of_trades
2020-12-28,EQ,"5,228.15","5,235.00","5,187.00","5,201.80","5,198.00","5,201.80","5,214.54","5,512.65","2,495.05",411173,"2,144,076,747.90",27717
2020-12-29,EQ,"5,225.00","5,269.00","5,145.60","5,201.80","5,155.00","5,165.60","5,198.60","5,512.65","2,495.05",882433,"4,587,418,828.50",69669
2020-12-30,EQ,"5,191.45","5,191.45","5,142.50","5,165.60","5,165.00","5,170.95","5,162.52","5,512.65","2,495.05",475269,"2,453,587,389.20",32851
2020-12-31,EQ,"5,190.00","5,253.75","5,161.00","5,170.95","5,214.00","5,205.10","5,208.41","5,512.65","2,495.05",1207238,"6,287,792,726.95",67624
2021-01-01,EQ,"5,217.25","5,254.85","5,200.00","5,205.10","5,233.00","5,241.35","5,232.78","5,512.65","2,495.05",583043,"3,050,933,889.25",34946
2021-01-04,EQ,"5,260.00","5,308.35","5,241.35","5,241.35","5,268.60","5,272.25","5,277.41","5,512.65","2,495.05",784688,"4,141,119,113.65",50183
2021-01-05,EQ,"5,240.00","5,337.00","5,226.95","5,272.25","5,284.65","5,286.90","5,291.43","5,512.65","2,495.05",954184,"5,048,997,344.30",57418
2021-01-06,EQ,"5,286.90","5,315.00","5,226.00","5,286.90","5,282.00","5,288.30","5,274.10","5,512.65","2,495.05",542678,"2,862,136,617.85",44072
2021-01-07,EQ,"5,301.00","5,325.00","5,253.00","5,288.30","5,285.25","5,270.90","5,281.31","5,512.65","2,495.05",653293,"3,450,243,671.55",43994
2021-01-08,EQ,"5,299.90","5,360.00","5,279.00","5,270.90","5,345.00","5,338.25","5,332.08","5,512.65","2,495.05",809183,"4,314,627,572.95",45991
2021-01-11,EQ,"5,344.00","5,427.00","5,326.00","5,338.25","5,413.00","5,416.80","5,396.87","5,512.65","2,495.05",919847,"4,964,296,017.95",66763
2021-01-12,EQ,"5,440.95","5,443.50","5,329.45","5,416.80","5,355.00","5,353.85","5,377.36","5,512.65","2,495.05",748372,"4,024,266,847.20",47291
2021-01-13,EQ,"5,365.00","5,375.00","5,238.00","5,353.85","5,280.00","5,290.00","5,299.45","5,512.65","2,495.05",659212,"3,493,457,937.85",46935
2021-01-14,EQ,"5,304.90","5,328.00","5,265.00","5,290.00","5,317.60","5,308.90","5,298.07","5,512.65","2,495.05",534972,"2,834,317,569.70",37494
2021-01-15,EQ,"5,315.00","5,315.00","5,195.60","5,308.90","5,212.10","5,212.80","5,240.23","5,512.65","2,495.05",515521,"2,701,448,136.40",36886
2021-01-18,EQ,"5,231.00","5,237.95","5,035.00","5,212.80","5,046.90","5,052.10","5,100.04","5,512.65","2,495.05",882411,"4,500,332,364.95",68064
2021-01-19,EQ,"5,088.00","5,104.95","5,036.55","5,052.10","5,085.30","5,088.90","5,066.72","5,512.65","2,495.05",798099,"4,043,747,241.95",49824
2021-01-20,EQ,"5,102.30","5,159.75","5,065.05","5,088.90","5,084.90","5,080.65","5,105.19","5,512.65","2,495.05",679629,"3,469,637,769.05",52744
2021-01-21,EQ,"5,110.00","5,138.00","5,033.90","5,080.65","5,068.95","5,052.20","5,088.12","5,512.65","2,495.05",581324,"2,957,847,227.30",49087
2021-01-22,EQ,"5,048.75","5,105.35","4,985.00","5,052.20","5,037.75","5,036.90","5,040.30","5,512.65","2,495.05",763122,"3,846,361,644.80",60162
2021-01-25,EQ,"5,042.00","5,128.40","4,960.00","5,036.90","5,080.00","5,082.40","5,057.41","5,512.65","2,495.05",717779,"3,630,105,543.05",55583
2021-01-27,EQ,"5,052.40","5,052.40","4,832.80","5,082.40","4,902.00","4,909.30","4,939.64","5,512.65","2,495.05",1052396,"5,198,453,350.65",115152
2021-01-28,EQ,"4,845.00","4,903.95","4,777.00","4,909.30","4,841.00","4,871.80","4,847.21","5,512.65","2,495.05",1033094,"5,007,620,326.15",90306
2021-01-29,EQ,"4,890.00","4,915.00","4,550.00","4,871.80","4,613.55","4,602.70","4,705.70","5,512.65","2,495.05",2964195,"13,948,599,177.10",190160
2021-02-01,EQ,"4,560.05","4,577.65","4,393.05","4,602.70","4,434.30","4,428.15","4,434.05","5,512.65","2,495.05",2590340,"11,485,705,975.90",191794
2021-02-02,EQ,"4,469.00","4,528.00","4,381.00","4,428.15","4,492.05","4,482.50","4,452.89","5,512.65","2,495.05",3675106,"16,364,827,634.85",199921
2021-02-03,EQ,"4,578.95","4,761.60","4,542.45","4,482.50","4,661.00","4,649.55","4,670.92","5,512.65","2,495.05",3445405,"16,093,220,769.70",236361
2021-02-04,EQ,"4,693.00","4,706.00","4,622.10","4,649.55","4,662.20","4,667.95","4,667.40","5,512.65","2,495.05",1301760,"6,075,834,428.95",80846
2021-02-05,EQ,"4,685.00","4,830.00","4,625.65","4,667.95","4,800.00","4,800.90","4,756.42","5,512.65","2,495.05",2407681,"11,451,932,404.40",144171
